time_utc,pred_lat,pred_lon
2026-08-01 07:52:00,35.333817,16.042084
2026-08-01 08:22:00,35.3273,16.039335
2026-08-01 08:52:00,35.321175,16.036137
2026-08-01 09:22:00,35.315544,16.032658
2026-08-01 09:52:00,35.31027,16.029285
2026-08-01 10:22:00,35.305447,16.026346
2026-08-01 10:52:00,35.30122,16.02394
2026-08-01 11:22:00,35.297462,16.021978
2026-08-01 11:52:00,35.29409,16.019962
2026-08-01 12:22:00,35.290882,16.017702
2026-08-01 12:52:00,35.287453,16.015448
2026-08-01 13:22:00,35.283707,16.013224
2026-08-01 13:52:00,35.2797,16.011374
2026-08-01 14:22:00,35.275578,16.009888
2026-08-01 14:52:00,35.271744,16.008406
2026-08-01 15:22:00,35.26828,16.006905
2026-08-01 15:52:00,35.264885,16.005476
2026-08-01 16:22:00,35.261536,16.004145
2026-08-01 16:52:00,35.25828,16.002903
2026-08-01 17:22:00,35.255108,16.001812
2026-08-01 17:52:00,35.251667,16.00108
2026-08-01 18:22:00,35.247997,16.000711
2026-08-01 18:52:00,35.244545,16.00011
2026-08-01 19:22:00,35.241367,15.999386
2026-08-01 19:52:00,35.238266,15.999344
2026-08-01 20:22:00,35.23524,16.000113
2026-08-01 20:52:00,35.23259,16.001383
2026-08-01 21:22:00,35.230293,16.002981
2026-08-01 21:52:00,35.228252,16.004503
2026-08-01 22:22:00,35.22638,16.005877
2026-08-01 22:52:00,35.2246,16.0076
2026-08-01 23:22:00,35.22291,16.009737
2026-08-01 23:52:00,35.221363,16.012249
2026-08-02 00:22:00,35.219814,16.015047
2026-08-02 00:52:00,35.21788,16.017792
2026-08-02 01:22:00,35.215523,16.020445
2026-08-02 01:52:00,35.212803,16.023157
2026-08-02 02:22:00,35.209785,16.025908
2026-08-02 02:52:00,35.20659,16.028357
2026-08-02 03:22:00,35.203262,16.030405
2026-08-02 03:52:00,35.199963,16.031975
2026-08-02 04:22:00,35.19672,16.033028
2026-08-02 04:52:00,35.19361,16.033678
2026-08-02 05:22:00,35.190697,16.03389
2026-08-02 05:52:00,35.188343,16.033627
2026-08-02 06:22:00,35.186638,16.032824
2026-08-02 06:52:00,35.18547,16.031597
2026-08-02 07:22:00,35.184875,16.030066
2026-08-02 07:52:00,35.184757,16.028711
2026-08-02 08:22:00,35.185078,16.027645
2026-08-02 08:52:00,35.185497,16.026558
2026-08-02 09:22:00,35.185978,16.025599
2026-08-02 09:52:00,35.18678,16.025068
2026-08-02 10:22:00,35.187897,16.025238
2026-08-02 10:52:00,35.189285,16.026808
2026-08-02 11:22:00,35.19089,16.029928
2026-08-02 11:52:00,35.19275,16.034613
2026-08-02 12:22:00,35.194798,16.040688
2026-08-02 12:52:00,35.19682,16.047447
2026-08-02 13:22:00,35.198742,16.054586
2026-08-02 13:52:00,35.200455,16.061707
2026-08-02 14:22:00,35.201935,16.068695
2026-08-02 14:52:00,35.203262,16.075584
2026-08-02 15:22:00,35.20439,16.082348
2026-08-02 15:52:00,35.205173,16.0889
2026-08-02 16:22:00,35.20553,16.09532
2026-08-02 16:52:00,35.205357,16.102007
2026-08-02 17:22:00,35.204643,16.109026
2026-08-02 17:52:00,35.20356,16.116322
2026-08-02 18:22:00,35.202164,16.123749
2026-08-02 18:52:00,35.200684,16.13073
2026-08-02 19:22:00,35.199192,16.136982
2026-08-02 19:52:00,35.197655,16.142014
2026-08-02 20:22:00,35.19608,16.145765
2026-08-02 20:52:00,35.194252,16.1491
2026-08-02 21:22:00,35.19224,16.152039
2026-08-02 21:52:00,35.19048,16.15414
2026-08-02 22:22:00,35.18911,16.155437
2026-08-02 22:52:00,35.18825,16.156174
2026-08-02 23:22:00,35.188015,16.15661
2026-08-02 23:52:00,35.18864,16.157133
2026-08-03 00:22:00,35.190094,16.157904
2026-08-03 00:52:00,35.191757,16.158861
2026-08-03 01:22:00,35.193504,16.160023
2026-08-03 01:52:00,35.195435,16.161436
2026-08-03 02:22:00,35.197475,16.163143
2026-08-03 02:52:00,35.199272,16.165339
2026-08-03 03:22:00,35.200806,16.167986
2026-08-03 03:52:00,35.202393,16.170687
2026-08-03 04:22:00,35.204098,16.17332
2026-08-03 04:52:00,35.205666,16.176073
2026-08-03 05:22:00,35.207092,16.178917
2026-08-03 05:52:00,35.208515,16.18137
2026-08-03 06:22:00,35.21001,16.183422
2026-08-03 06:52:00,35.21186,16.185566
2026-08-03 07:22:00,35.214058,16.18799
2026-08-03 07:52:00,35.216427,16.191288
2026-08-03 08:22:00,35.21892,16.195475
2026-08-03 08:52:00,35.22153,16.199896
2026-08-03 09:22:00,35.224167,16.204395
2026-08-03 09:52:00,35.226482,16.208576
2026-08-03 10:22:00,35.228413,16.212458
2026-08-03 10:52:00,35.23027,16.216763
2026-08-03 11:22:00,35.23203,16.22161
2026-08-03 11:52:00,35.23346,16.226847
2026-08-03 12:22:00,35.234577,16.232386
2026-08-03 12:52:00,35.235615,16.23791
2026-08-03 13:22:00,35.236645,16.243347
2026-08-03 13:52:00,35.237675,16.2488
2026-08-03 14:22:00,35.23869,16.254288
2026-08-03 14:52:00,35.239372,16.26
2026-08-03 15:22:00,35.239647,16.265932
2026-08-03 15:52:00,35.239426,16.271935
2026-08-03 16:22:00,35.238693,16.277905
2026-08-03 16:52:00,35.237675,16.283495
2026-08-03 17:22:00,35.236225,16.288559
2026-08-03 17:52:00,35.233364,16.292713
2026-08-03 18:22:00,35.229176,16.295889
2026-08-03 18:52:00,35.22529,16.298265
2026-08-03 19:22:00,35.221996,16.299868
2026-08-03 19:52:00,35.218906,16.300615
2026-08-03 20:22:00,35.216053,16.30054
2026-08-03 20:52:00,35.21357,16.299963
2026-08-03 21:22:00,35.211597,16.298952
2026-08-03 21:52:00,35.21047,16.297447
2026-08-03 22:22:00,35.210255,16.295496
2026-08-03 22:52:00,35.210888,16.293072
2026-08-03 23:22:00,35.21228,16.290358
2026-08-03 23:52:00,35.214134,16.288174
2026-08-04 00:22:00,35.21633,16.286621
2026-08-04 00:52:00,35.21859,16.285164
2026-08-04 01:22:00,35.22087,16.283833
2026-08-04 01:52:00,35.22355,16.283234
2026-08-04 02:22:00,35.226585,16.283417
2026-08-04 02:52:00,35.229465,16.284014
2026-08-04 03:22:00,35.23205,16.284851
2026-08-04 03:52:00,35.234325,16.285288
2026-08-04 04:22:00,35.236298,16.28527
2026-08-04 04:52:00,35.23824,16.285347
2026-08-04 05:22:00,35.240177,16.285566
2026-08-04 05:52:00,35.242214,16.285498
2026-08-04 06:22:00,35.24432,16.285198
2026-08-04 06:52:00,35.246384,16.285471
2026-08-04 07:22:00,35.248386,16.286478
2026-08-04 07:52:00,35.250454,16.28831
